06/07 07:25:01 INFO naive.ReasonableBot|UNKNOWN Message Received: edu.umich.eecs.tac.props.AdvertiserInfo@bc795bfb
06/07 07:25:27 INFO naive.ReasonableBot|Day 2: Campaign opportunity - Campaign ID 747195039: day 4 to 13 [FEMALE, LOW_INCOME], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:25:27 INFO naive.ReasonableBot|Day 2: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:25:27 INFO naive.ReasonableBot|Actually bidding 80
06/07 07:25:28 INFO naive.ReasonableBot|Day 2 : AdNetworkReport
06/07 07:25:28 INFO naive.ReasonableBot|Day 2 : Simulation Status Received
06/07 07:25:28 INFO naive.ReasonableBot|Day 2: Sending BidBundle
06/07 07:25:28 INFO naive.ReasonableBot|Day 2 ended. Starting next day
06/07 07:25:35 INFO naive.ReasonableBot|Day 3 :BankStatus[-0.001862]
06/07 07:25:35 INFO naive.ReasonableBot|Day 3: Updating campaign 719340043 stats: 269.5 tgtImps 2057.5 nonTgtImps. Cost of imps is 3.327351928481081E-5
06/07 07:25:35 INFO naive.ReasonableBot|Day 3: Updating campaign 820198133 stats: 1252.5 tgtImps 154.5 nonTgtImps. Cost of imps is 0.0018289166023138068
06/07 07:25:35 INFO naive.ReasonableBot|Day 3: Daily notification for campaign 747195039
06/07 07:25:35 INFO naive.ReasonableBot|campaign was NOT won. new bid:64
06/07 07:25:35 INFO naive.ReasonableBot|Day 3:  allocated to adv5. UCS Level set to 1.0 at price 0.0 Quality Score is: 1.0
06/07 07:25:35 INFO naive.ReasonableBot|Day 3: Campaign opportunity - Campaign ID 167607602: day 5 to 9 [MALE, LOW_INCOME], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:25:35 INFO naive.ReasonableBot|Day 3: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:25:35 INFO naive.ReasonableBot|Actually bidding 64
06/07 07:25:35 INFO naive.ReasonableBot|Day 3 : AdNetworkReport
06/07 07:25:35 INFO naive.ReasonableBot|Day 3 : Simulation Status Received
06/07 07:25:35 INFO naive.ReasonableBot|Day 3: Sending BidBundle
06/07 07:25:35 INFO naive.ReasonableBot|Day 3 ended. Starting next day
06/07 07:25:42 INFO naive.ReasonableBot|Day 4 :BankStatus[-0.002441]
06/07 07:25:42 INFO naive.ReasonableBot|Day 4: Updating campaign 719340043 stats: 553.5 tgtImps 3667.5 nonTgtImps. Cost of imps is 6.884481551029836E-5
06/07 07:25:42 INFO naive.ReasonableBot|Day 4: Updating campaign 820198133 stats: 1564.5 tgtImps 477.5 nonTgtImps. Cost of imps is 0.002372487448253255
06/07 07:25:42 INFO naive.ReasonableBot|Day 4: Daily notification for campaign 167607602
06/07 07:25:42 INFO naive.ReasonableBot|campaign was NOT won. new bid:51
06/07 07:25:42 INFO naive.ReasonableBot|Day 4:  allocated to adv6. UCS Level set to 1.0 at price 0.0 Quality Score is: 1.0
06/07 07:25:42 INFO naive.ReasonableBot|Day 4: Campaign opportunity - Campaign ID 417123823: day 6 to 10 [FEMALE, YOUNG], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:25:42 INFO naive.ReasonableBot|Day 4: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:25:42 INFO naive.ReasonableBot|Actually bidding 51
06/07 07:25:42 INFO naive.ReasonableBot|Day 4 : AdNetworkReport
06/07 07:25:42 INFO naive.ReasonableBot|Day 4 : Simulation Status Received
06/07 07:25:42 INFO naive.ReasonableBot|Day 4: Sending BidBundle
06/07 07:25:42 INFO naive.ReasonableBot|Day 4 ended. Starting next day
06/07 07:25:52 INFO naive.ReasonableBot|Day 5 :BankStatus[-0.002463]
06/07 07:25:52 INFO naive.ReasonableBot|Day 5: Updating campaign 820198133 stats: 1565.5 tgtImps 477.5 nonTgtImps. Cost of imps is 0.002374123783804692
06/07 07:25:52 INFO naive.ReasonableBot|Day 5: Daily notification for campaign 417123823
06/07 07:25:52 INFO naive.ReasonableBot|campaign was NOT won. new bid:40
06/07 07:25:52 INFO naive.ReasonableBot|Day 5:  allocated to adv3. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.42019980926130274
06/07 07:25:52 INFO naive.ReasonableBot|Day 5: Campaign opportunity - Campaign ID 1225207434: day 7 to 16 [FEMALE, HIGH_INCOME], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:25:52 INFO naive.ReasonableBot|Day 5: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:25:52 INFO naive.ReasonableBot|Actually bidding 40
06/07 07:25:52 INFO naive.ReasonableBot|Day 5 : AdNetworkReport
06/07 07:25:52 INFO naive.ReasonableBot|Day 5 : Simulation Status Received
06/07 07:25:52 INFO naive.ReasonableBot|Day 5: Sending BidBundle
06/07 07:25:52 INFO naive.ReasonableBot|Day 5 ended. Starting next day
06/07 07:26:03 INFO naive.ReasonableBot|Day 6 :BankStatus[0.000876]
06/07 07:26:03 INFO naive.ReasonableBot|Day 6: Daily notification for campaign 1225207434
06/07 07:26:03 INFO naive.ReasonableBot|campaign was NOT won. new bid:32
06/07 07:26:03 INFO naive.ReasonableBot|Day 6:  allocated to adv4. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:26:03 INFO naive.ReasonableBot|Day 6: Campaign opportunity - Campaign ID 301932214: day 8 to 12 [FEMALE, HIGH_INCOME], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:26:03 INFO naive.ReasonableBot|Day 6: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:26:03 INFO naive.ReasonableBot|Actually bidding 32
06/07 07:26:03 INFO naive.ReasonableBot|Day 6 : Simulation Status Received
06/07 07:26:03 INFO naive.ReasonableBot|Day 6: Sending BidBundle
06/07 07:26:03 INFO naive.ReasonableBot|Day 6 ended. Starting next day
06/07 07:26:12 INFO naive.ReasonableBot|Day 7 :BankStatus[1.452061]
06/07 07:26:12 INFO naive.ReasonableBot|Day 7: Daily notification for campaign 301932214
06/07 07:26:12 INFO naive.ReasonableBot|campaign was NOT won. new bid:25
06/07 07:26:12 INFO naive.ReasonableBot|Day 7:  allocated to adv1. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:26:12 INFO naive.ReasonableBot|Day 7: Campaign opportunity - Campaign ID 1076600010: day 9 to 18 [OLD, LOW_INCOME], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:26:12 INFO naive.ReasonableBot|Day 7: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:26:12 INFO naive.ReasonableBot|Actually bidding 25
06/07 07:26:12 INFO naive.ReasonableBot|Day 7 : Simulation Status Received
06/07 07:26:12 INFO naive.ReasonableBot|Day 7: Sending BidBundle
06/07 07:26:12 INFO naive.ReasonableBot|Day 7 ended. Starting next day
06/07 07:26:22 INFO naive.ReasonableBot|Day 8 :BankStatus[1.452061]
06/07 07:26:22 INFO naive.ReasonableBot|Day 8: Daily notification for campaign 1076600010
06/07 07:26:22 INFO naive.ReasonableBot|campaign was NOT won. new bid:20
06/07 07:26:22 INFO naive.ReasonableBot|Day 8:  allocated to adv2. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:26:22 INFO naive.ReasonableBot|Day 8: Campaign opportunity - Campaign ID 1696268476: day 10 to 19 [FEMALE, YOUNG], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:26:22 INFO naive.ReasonableBot|Day 8: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:26:22 INFO naive.ReasonableBot|Actually bidding 20
06/07 07:26:22 INFO naive.ReasonableBot|Day 8 : Simulation Status Received
06/07 07:26:22 INFO naive.ReasonableBot|Day 8: Sending BidBundle
06/07 07:26:22 INFO naive.ReasonableBot|Day 8 ended. Starting next day
06/07 07:26:32 INFO naive.ReasonableBot|Day 9 :BankStatus[1.452061]
06/07 07:26:32 INFO naive.ReasonableBot|Day 9: Daily notification for campaign 1696268476
06/07 07:26:32 INFO naive.ReasonableBot|campaign was NOT won. new bid:16
06/07 07:26:32 INFO naive.ReasonableBot|Day 9:  allocated to adv3. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:26:32 INFO naive.ReasonableBot|Day 9: Campaign opportunity - Campaign ID 1936540422: day 11 to 15 [OLD, LOW_INCOME], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:26:32 INFO naive.ReasonableBot|Day 9: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:26:32 INFO naive.ReasonableBot|Actually bidding 16
06/07 07:26:33 INFO naive.ReasonableBot|Day 9 : Simulation Status Received
06/07 07:26:33 INFO naive.ReasonableBot|Day 9: Sending BidBundle
06/07 07:26:33 INFO naive.ReasonableBot|Day 9 ended. Starting next day
06/07 07:26:42 INFO naive.ReasonableBot|Day 10 :BankStatus[1.452061]
06/07 07:26:42 INFO naive.ReasonableBot|Day 10: Daily notification for campaign 1936540422
06/07 07:26:42 INFO naive.ReasonableBot|campaign was NOT won. new bid:12
06/07 07:26:42 INFO naive.ReasonableBot|Day 10:  allocated to adv4. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:26:42 INFO naive.ReasonableBot|Day 10: Campaign opportunity - Campaign ID 378936779: day 12 to 16 [LOW_INCOME, YOUNG], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:26:42 INFO naive.ReasonableBot|Day 10: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:26:42 INFO naive.ReasonableBot|Actually bidding 12
06/07 07:26:42 INFO naive.ReasonableBot|Day 10 : Simulation Status Received
06/07 07:26:42 INFO naive.ReasonableBot|Day 10: Sending BidBundle
06/07 07:26:42 INFO naive.ReasonableBot|Day 10 ended. Starting next day
06/07 07:26:53 INFO naive.ReasonableBot|Day 11 :BankStatus[1.452061]
06/07 07:26:53 INFO naive.ReasonableBot|Day 11: Daily notification for campaign 378936779
06/07 07:26:53 INFO naive.ReasonableBot|campaign was NOT won. new bid:9
06/07 07:26:53 INFO naive.ReasonableBot|Day 11:  allocated to adv5. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:26:53 INFO naive.ReasonableBot|Day 11: Campaign opportunity - Campaign ID 405800580: day 13 to 15 [MALE, YOUNG], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:26:53 INFO naive.ReasonableBot|Day 11: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:26:53 INFO naive.ReasonableBot|Actually bidding 9
06/07 07:26:53 INFO naive.ReasonableBot|Day 11 : Simulation Status Received
06/07 07:26:53 INFO naive.ReasonableBot|Day 11: Sending BidBundle
06/07 07:26:53 INFO naive.ReasonableBot|Day 11 ended. Starting next day
06/07 07:27:02 INFO naive.ReasonableBot|Day 12 :BankStatus[1.452061]
06/07 07:27:02 INFO naive.ReasonableBot|Day 12: Daily notification for campaign 405800580
06/07 07:27:02 INFO naive.ReasonableBot|campaign was NOT won. new bid:7
06/07 07:27:02 INFO naive.ReasonableBot|Day 12:  allocated to adv1. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:27:02 INFO naive.ReasonableBot|Day 12: Campaign opportunity - Campaign ID 1432939025: day 14 to 23 [HIGH_INCOME, MALE], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:27:02 INFO naive.ReasonableBot|Day 12: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:27:02 INFO naive.ReasonableBot|Actually bidding 7
06/07 07:27:02 INFO naive.ReasonableBot|Day 12 : Simulation Status Received
06/07 07:27:02 INFO naive.ReasonableBot|Day 12: Sending BidBundle
06/07 07:27:02 INFO naive.ReasonableBot|Day 12 ended. Starting next day
06/07 07:27:12 INFO naive.ReasonableBot|Day 13 :BankStatus[1.452061]
06/07 07:27:12 INFO naive.ReasonableBot|Day 13: Daily notification for campaign 1432939025
06/07 07:27:12 INFO naive.ReasonableBot|campaign was NOT won. new bid:5
06/07 07:27:12 INFO naive.ReasonableBot|Day 13:  allocated to adv2. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:27:12 INFO naive.ReasonableBot|Day 13: Campaign opportunity - Campaign ID 1153891874: day 15 to 24 [HIGH_INCOME, MALE], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:27:12 INFO naive.ReasonableBot|Day 13: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:27:12 INFO naive.ReasonableBot|Actually bidding 5
06/07 07:27:12 INFO naive.ReasonableBot|Day 13 : Simulation Status Received
06/07 07:27:12 INFO naive.ReasonableBot|Day 13: Sending BidBundle
06/07 07:27:12 INFO naive.ReasonableBot|Day 13 ended. Starting next day
06/07 07:27:22 INFO naive.ReasonableBot|Day 14 :BankStatus[1.452061]
06/07 07:27:22 INFO naive.ReasonableBot|Day 14: Daily notification for campaign 1153891874
06/07 07:27:22 INFO naive.ReasonableBot|Day 14:  WON at cost 0.005517187960577324. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:27:23 INFO naive.ReasonableBot|Day 14: Campaign opportunity - Campaign ID 1511948249: day 16 to 25 [HIGH_INCOME, YOUNG], reach: 15000 coefs: (v=2.0, m=1.5)
06/07 07:27:23 INFO naive.ReasonableBot|Day 14: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:27:23 INFO naive.ReasonableBot|Actually bidding 5
06/07 07:27:23 INFO naive.ReasonableBot|Day 14 : Simulation Status Received
06/07 07:27:23 INFO naive.ReasonableBot|Day 14: Sending BidBundle
06/07 07:27:23 INFO naive.ReasonableBot|Day 14 ended. Starting next day
06/07 07:27:32 INFO naive.ReasonableBot|Day 15 :BankStatus[1.452061]
06/07 07:27:32 INFO naive.ReasonableBot|Day 15: Daily notification for campaign 1511948249
06/07 07:27:32 INFO naive.ReasonableBot|campaign was NOT won. new bid:4
06/07 07:27:32 INFO naive.ReasonableBot|Day 15:  allocated to adv4. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:27:32 INFO naive.ReasonableBot|Day 15: Campaign opportunity - Campaign ID 1927534139: day 17 to 26 [FEMALE, YOUNG], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:27:32 INFO naive.ReasonableBot|Day 15: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:27:32 INFO naive.ReasonableBot|Actually bidding 4
06/07 07:27:32 INFO naive.ReasonableBot|Day 15 : AdNetworkReport
06/07 07:27:32 INFO naive.ReasonableBot|Day 15 : Simulation Status Received
06/07 07:27:32 INFO naive.ReasonableBot|Day 15: Sending BidBundle
06/07 07:27:32 INFO naive.ReasonableBot|Day 15 ended. Starting next day
06/07 07:27:42 INFO naive.ReasonableBot|Day 16 :BankStatus[1.452061]
06/07 07:27:42 INFO naive.ReasonableBot|Day 16: Updating campaign 1153891874 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
06/07 07:27:42 INFO naive.ReasonableBot|Day 16: Daily notification for campaign 1927534139
06/07 07:27:42 INFO naive.ReasonableBot|campaign was NOT won. new bid:3
06/07 07:27:42 INFO naive.ReasonableBot|Day 16:  allocated to adv2. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:27:42 INFO naive.ReasonableBot|Day 16: Campaign opportunity - Campaign ID 457971841: day 18 to 22 [FEMALE, HIGH_INCOME], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:27:42 INFO naive.ReasonableBot|Day 16: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:27:42 INFO naive.ReasonableBot|Actually bidding 3
06/07 07:27:42 INFO naive.ReasonableBot|Day 16 : AdNetworkReport
06/07 07:27:42 INFO naive.ReasonableBot|Day 16 : Simulation Status Received
06/07 07:27:42 INFO naive.ReasonableBot|Day 16: Sending BidBundle
06/07 07:27:42 INFO naive.ReasonableBot|Day 16 ended. Starting next day
06/07 07:27:53 INFO naive.ReasonableBot|Day 17 :BankStatus[1.452061]
06/07 07:27:53 INFO naive.ReasonableBot|Day 17: Updating campaign 1153891874 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
06/07 07:27:53 INFO naive.ReasonableBot|Day 17: Daily notification for campaign 457971841
06/07 07:27:53 INFO naive.ReasonableBot|Day 17:  WON at cost 0.003153212289559548. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:27:53 INFO naive.ReasonableBot|Day 17: Campaign opportunity - Campaign ID 41978613: day 19 to 28 [FEMALE, LOW_INCOME], reach: 15000 coefs: (v=2.0, m=1.5)
06/07 07:27:53 INFO naive.ReasonableBot|Day 17: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:27:53 INFO naive.ReasonableBot|Actually bidding 3
06/07 07:27:53 INFO naive.ReasonableBot|Day 17 : AdNetworkReport
06/07 07:27:53 INFO naive.ReasonableBot|Day 17 : Simulation Status Received
06/07 07:27:53 INFO naive.ReasonableBot|Day 17: Sending BidBundle
06/07 07:27:53 INFO naive.ReasonableBot|Day 17 ended. Starting next day
06/07 07:28:02 INFO naive.ReasonableBot|Day 18 :BankStatus[1.452061]
06/07 07:28:02 INFO naive.ReasonableBot|Day 18: Updating campaign 1153891874 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
06/07 07:28:02 INFO naive.ReasonableBot|Day 18: Daily notification for campaign 41978613
06/07 07:28:02 INFO naive.ReasonableBot|campaign was NOT won. new bid:2
06/07 07:28:02 INFO naive.ReasonableBot|Day 18:  allocated to adv6. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:28:02 INFO naive.ReasonableBot|Day 18: Campaign opportunity - Campaign ID 766937865: day 20 to 24 [HIGH_INCOME, MALE], reach: 15000 coefs: (v=2.0, m=1.5)
06/07 07:28:02 INFO naive.ReasonableBot|Day 18: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:28:02 INFO naive.ReasonableBot|Actually bidding 2
06/07 07:28:02 INFO naive.ReasonableBot|Day 18 : AdNetworkReport
06/07 07:28:02 INFO naive.ReasonableBot|Day 18 : Simulation Status Received
06/07 07:28:02 INFO naive.ReasonableBot|Day 18: Sending BidBundle
06/07 07:28:02 INFO naive.ReasonableBot|Day 18 ended. Starting next day
06/07 07:28:12 INFO naive.ReasonableBot|Day 19 :BankStatus[1.452061]
06/07 07:28:12 INFO naive.ReasonableBot|Day 19: Updating campaign 457971841 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
06/07 07:28:12 INFO naive.ReasonableBot|Day 19: Updating campaign 1153891874 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
06/07 07:28:13 INFO naive.ReasonableBot|Day 19: Daily notification for campaign 766937865
06/07 07:28:13 INFO naive.ReasonableBot|campaign was NOT won. new bid:1
06/07 07:28:13 INFO naive.ReasonableBot|Day 19:  allocated to adv2. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:28:13 INFO naive.ReasonableBot|Day 19: Campaign opportunity - Campaign ID 891419016: day 21 to 25 [OLD, HIGH_INCOME], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:28:13 INFO naive.ReasonableBot|Day 19: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:28:13 INFO naive.ReasonableBot|Actually bidding 1
06/07 07:28:13 INFO naive.ReasonableBot|Day 19 : AdNetworkReport
06/07 07:28:13 INFO naive.ReasonableBot|Day 19 : Simulation Status Received
06/07 07:28:13 INFO naive.ReasonableBot|Day 19: Sending BidBundle
06/07 07:28:13 INFO naive.ReasonableBot|Day 19 ended. Starting next day
06/07 07:28:22 INFO naive.ReasonableBot|Day 20 :BankStatus[1.452061]
06/07 07:28:22 INFO naive.ReasonableBot|Day 20: Updating campaign 457971841 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
06/07 07:28:22 INFO naive.ReasonableBot|Day 20: Updating campaign 1153891874 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
06/07 07:28:22 INFO naive.ReasonableBot|Day 20: Daily notification for campaign 891419016
06/07 07:28:22 INFO naive.ReasonableBot|Day 20:  WON at cost 0.003806205113547492. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:28:22 INFO naive.ReasonableBot|Day 20: Campaign opportunity - Campaign ID 198385932: day 22 to 26 [OLD, FEMALE], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:28:22 INFO naive.ReasonableBot|Day 20: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:28:22 INFO naive.ReasonableBot|Actually bidding 1
06/07 07:28:22 INFO naive.ReasonableBot|Day 20 : AdNetworkReport
06/07 07:28:22 INFO naive.ReasonableBot|Day 20 : Simulation Status Received
06/07 07:28:22 INFO naive.ReasonableBot|Day 20: Sending BidBundle
06/07 07:28:22 INFO naive.ReasonableBot|Day 20 ended. Starting next day
06/07 07:28:32 INFO naive.ReasonableBot|Day 21 :BankStatus[1.452061]
06/07 07:28:32 INFO naive.ReasonableBot|Day 21: Updating campaign 457971841 stats: 4.5 tgtImps 0.0 nonTgtImps. Cost of imps is 1.2499577197500143E-9
06/07 07:28:32 INFO naive.ReasonableBot|Day 21: Updating campaign 1153891874 stats: 8.5 tgtImps 9.5 nonTgtImps. Cost of imps is 6.866368478555095E-9
06/07 07:28:32 INFO naive.ReasonableBot|Day 21: Daily notification for campaign 198385932
06/07 07:28:32 INFO naive.ReasonableBot|Day 21:  WON at cost 0.001903102556773746. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:28:32 INFO naive.ReasonableBot|Day 21: Campaign opportunity - Campaign ID 1150031970: day 23 to 27 [LOW_INCOME, YOUNG], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:28:32 INFO naive.ReasonableBot|Day 21: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:28:32 INFO naive.ReasonableBot|Actually bidding 1
06/07 07:28:32 INFO naive.ReasonableBot|Day 21 : AdNetworkReport
06/07 07:28:32 INFO naive.ReasonableBot|Day 21 : Simulation Status Received
06/07 07:28:32 INFO naive.ReasonableBot|Day 21: Sending BidBundle
06/07 07:28:32 INFO naive.ReasonableBot|Day 21 ended. Starting next day
06/07 07:28:42 INFO naive.ReasonableBot|Day 22 :BankStatus[1.452061]
06/07 07:28:42 INFO naive.ReasonableBot|Day 22: Updating campaign 457971841 stats: 4.5 tgtImps 1.0 nonTgtImps. Cost of imps is 2.0855077968497983E-9
06/07 07:28:42 INFO naive.ReasonableBot|Day 22: Updating campaign 891419016 stats: 1.5 tgtImps 6.0 nonTgtImps. Cost of imps is 4.588490751148096E-9
06/07 07:28:42 INFO naive.ReasonableBot|Day 22: Updating campaign 1153891874 stats: 10.0 tgtImps 17.0 nonTgtImps. Cost of imps is 1.0367899397652048E-8
06/07 07:28:42 INFO naive.ReasonableBot|Day 22: Daily notification for campaign 1150031970
06/07 07:28:42 INFO naive.ReasonableBot|Day 22:  WON at cost 8.646487098117124. UCS Level set to 1.0 at price 0.0 Quality Score is: 0.8646487098117124
06/07 07:28:42 INFO naive.ReasonableBot|Day 22: Campaign opportunity - Campaign ID 2121009836: day 24 to 26 [MALE, YOUNG], reach: 10000 coefs: (v=2.0, m=1.5)
06/07 07:28:42 INFO naive.ReasonableBot|Day 22: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:28:42 INFO naive.ReasonableBot|Actually bidding 1
06/07 07:28:42 INFO naive.ReasonableBot|Day 22 : AdNetworkReport
06/07 07:28:42 INFO naive.ReasonableBot|Day 22 : Simulation Status Received
06/07 07:28:42 INFO naive.ReasonableBot|Day 22: Sending BidBundle
06/07 07:28:42 INFO naive.ReasonableBot|Day 22 ended. Starting next day
06/07 07:28:52 INFO naive.ReasonableBot|Day 23 :BankStatus[1.452061]
06/07 07:28:52 INFO naive.ReasonableBot|Day 23: Updating campaign 891419016 stats: 1.5 tgtImps 6.0 nonTgtImps. Cost of imps is 4.588490751148096E-9
06/07 07:28:52 INFO naive.ReasonableBot|Day 23: Updating campaign 198385932 stats: 7.0 tgtImps 3.0 nonTgtImps. Cost of imps is 3.5182363488120186E-9
