07/07 18:41:01 INFO naive.ReasonableBot|UNKNOWN Message Received: edu.umich.eecs.tac.props.AdvertiserInfo@bc76a1c1
07/07 18:43:52 INFO naive.ReasonableBot|Day 17 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 924990758 days left: 4 target reach: 10000 to go: 10000 1846194125 days left: 2 target reach: 10000 to go: 10000
07/07 18:43:52 INFO naive.ReasonableBot|DAY 17 Actually bidding 427
07/07 18:44:08 INFO naive.ReasonableBot|DAY 18 WON at cost 6.489202541611252
07/07 18:44:08 INFO naive.ReasonableBot|Day 18 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1760062422 days left: 2 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 924990758 days left: 4 target reach: 10000 to go: 10000 1846194125 days left: 2 target reach: 10000 to go: 10000
07/07 18:44:08 INFO naive.ReasonableBot|DAY 18 Actually bidding 641
07/07 18:44:13 INFO naive.ReasonableBot|DAY 19 WON at cost 1.62296005273296
07/07 18:44:13 INFO naive.ReasonableBot|Day 19 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1760062422 days left: 2 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250 1049194727 days left: 2 target reach: 15000 to go: 15000 1938250532 days left: 2 target reach: 5000 to go: 5000 924990758 days left: 4 target reach: 10000 to go: 10000 1846194125 days left: 2 target reach: 10000 to go: 10000
07/07 18:44:13 INFO naive.ReasonableBot|DAY 19 Actually bidding 427
07/07 18:44:23 INFO naive.ReasonableBot|DAY 20 WON at cost 0.8313476559607329
07/07 18:44:23 INFO naive.ReasonableBot|Day 20 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1760062422 days left: 2 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250 1049194727 days left: 2 target reach: 15000 to go: 15000 1938250532 days left: 2 target reach: 5000 to go: 5000 924990758 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000 1846194125 days left: 2 target reach: 10000 to go: 10000
07/07 18:44:23 INFO naive.ReasonableBot|DAY 20 Actually bidding 213
07/07 18:44:32 INFO naive.ReasonableBot|DAY 21 WON at cost 0.6814428559062121
07/07 18:44:32 INFO naive.ReasonableBot|Day 21 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1760062422 days left: 2 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250 1049194727 days left: 2 target reach: 15000 to go: 15000 1938250532 days left: 2 target reach: 5000 to go: 5000 1183101149 days left: 9 target reach: 5000 to go: 5000 924990758 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000 1846194125 days left: 2 target reach: 10000 to go: 10000
07/07 18:44:32 INFO naive.ReasonableBot|DAY 21 Actually bidding 427
07/07 18:44:43 INFO naive.ReasonableBot|DAY 22 WON at cost 3.1864009047433144
07/07 18:44:43 INFO naive.ReasonableBot|Day 22 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1760062422 days left: 2 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250 1049194727 days left: 2 target reach: 15000 to go: 15000 50308189 days left: 2 target reach: 10000 to go: 10000 1938250532 days left: 2 target reach: 5000 to go: 5000 1183101149 days left: 9 target reach: 5000 to go: 5000 924990758 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000 1846194125 days left: 2 target reach: 10000 to go: 10000
07/07 18:44:43 INFO naive.ReasonableBot|DAY 22 Actually bidding 641
07/07 18:45:03 INFO naive.ReasonableBot|DAY 23 WON at cost 0.6962725118095958
07/07 18:45:03 INFO naive.ReasonableBot|Day 23 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:45:03 INFO naive.ReasonableBot|DAY 23 Actually bidding 641
07/07 18:45:08 INFO naive.ReasonableBot|Day 24 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:45:08 INFO naive.ReasonableBot|DAY 24 Actually bidding 341
07/07 18:45:14 INFO naive.ReasonableBot|DAY 25 WON at cost 0.8000144781420678
07/07 18:45:14 INFO naive.ReasonableBot|Day 25 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:45:14 INFO naive.ReasonableBot|DAY 25 Actually bidding 170
07/07 18:45:24 INFO naive.ReasonableBot|DAY 26 WON at cost 1.7591714622254577
07/07 18:45:24 INFO naive.ReasonableBot|Day 26 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:45:24 INFO naive.ReasonableBot|DAY 26 Actually bidding 341
07/07 18:45:38 INFO naive.ReasonableBot|DAY 27 WON at cost 0.7557565383628854
07/07 18:45:38 INFO naive.ReasonableBot|Day 27 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:45:38 INFO naive.ReasonableBot|DAY 27 Actually bidding 512
07/07 18:45:44 INFO naive.ReasonableBot|DAY 28 WON at cost 1.0010367463752503
07/07 18:45:44 INFO naive.ReasonableBot|Day 28 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:45:44 INFO naive.ReasonableBot|DAY 28 Actually bidding 341
07/07 18:45:53 INFO naive.ReasonableBot|DAY 29 WON at cost 8.09370424031292
07/07 18:45:53 INFO naive.ReasonableBot|Day 29 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:45:53 INFO naive.ReasonableBot|DAY 29 Actually bidding 341
07/07 18:46:04 INFO naive.ReasonableBot|Day 30 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:46:04 INFO naive.ReasonableBot|DAY 30 Actually bidding 273
07/07 18:46:29 INFO naive.ReasonableBot|Day 31 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:46:29 INFO naive.ReasonableBot|DAY 31 Actually bidding 328
07/07 18:46:34 INFO naive.ReasonableBot|Day 32 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:46:34 INFO naive.ReasonableBot|DAY 32 Actually bidding 87
07/07 18:46:43 INFO naive.ReasonableBot|Day 33 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:46:43 INFO naive.ReasonableBot|DAY 33 Actually bidding 210
07/07 18:46:51 INFO naive.ReasonableBot|Day 34 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:46:51 INFO naive.ReasonableBot|DAY 34 Actually bidding 168
07/07 18:46:56 INFO naive.ReasonableBot|Day 35 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:46:56 INFO naive.ReasonableBot|DAY 35 Actually bidding 134
07/07 18:47:03 INFO naive.ReasonableBot|Day 36 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:47:03 INFO naive.ReasonableBot|DAY 36 Actually bidding 35
07/07 18:47:13 INFO naive.ReasonableBot|DAY 37 WON at cost 0.09213883523018182
07/07 18:47:13 INFO naive.ReasonableBot|Day 37 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 1793838479 days left: 2 target reach: 10000 to go: 10000 1456701699 days left: 9 target reach: 5000 to go: 5000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:47:13 INFO naive.ReasonableBot|DAY 37 Actually bidding 107
07/07 18:47:23 INFO naive.ReasonableBot|DAY 38 WON at cost 2.332990350473678
07/07 18:47:23 INFO naive.ReasonableBot|Day 38 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1846194125 days left: 2 target reach: 10000 to go: 10000 755108523 days left: 4 target reach: 15000 to go: 15000 1793838479 days left: 2 target reach: 10000 to go: 10000 1456701699 days left: 9 target reach: 5000 to go: 5000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:47:23 INFO naive.ReasonableBot|DAY 38 Actually bidding 107
07/07 18:47:35 INFO naive.ReasonableBot|DAY 39 WON at cost 1.738005932285446
07/07 18:47:35 INFO naive.ReasonableBot|Day 39 1951786006 days left: 4 target reach: 15000 to go: 15000 1760062422 days left: 2 target reach: 10000 to go: 10000 1793569857 days left: 9 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250 1938250532 days left: 2 target reach: 5000 to go: 5000 50308189 days left: 2 target reach: 10000 to go: 10000 924990758 days left: 4 target reach: 10000 to go: 10000 1183101149 days left: 9 target reach: 5000 to go: 5000 1194676242 days left: 4 target reach: 15000 to go: 15000 1846194125 days left: 2 target reach: 10000 to go: 10000 755108523 days left: 4 target reach: 15000 to go: 15000 1793838479 days left: 2 target reach: 10000 to go: 10000 1456701699 days left: 9 target reach: 5000 to go: 5000 1748374457 days left: 4 target reach: 10000 to go: 10000 848505777 days left: 4 target reach: 10000 to go: 10000 1726052058 days left: 9 target reach: 15000 to go: 15000 1662393440 days left: 2 target reach: 5000 to go: 5000 1531565335 days left: 9 target reach: 5000 to go: 5000 1049194727 days left: 2 target reach: 15000 to go: 15000 230483658 days left: 4 target reach: 10000 to go: 10000 25441730 days left: 4 target reach: 10000 to go: 10000
07/07 18:47:35 INFO naive.ReasonableBot|DAY 39 Actually bidding 107
07/07 18:47:44 INFO naive.ReasonableBot|DAY 40 WON at cost 0.26850988526282527
