25/02 16:02:00 FINE sim.Admin|Log for simulation 215 started
25/02 16:02:03 INFO agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.15589201107548636 Cmp ID: 1677170384 Cmp Bid: 1788
25/02 16:02:03 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.08959122304015577, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.625 , weight=625])
25/02 16:02:03 INFO agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv2 : UCS Bid: 0.05 Cmp ID: 1677170384 Cmp Bid: 542
25/02 16:02:03 INFO agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv6 : UCS Bid: 0.05 Cmp ID: 1677170384 Cmp Bid: 512
25/02 16:02:03 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.625 , weight=625])
25/02 16:02:03 INFO agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv5 : UCS Bid: 0.05 Cmp ID: 1677170384 Cmp Bid: 511
25/02 16:02:03 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.625 , weight=625])
25/02 16:02:03 INFO agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv7 : UCS Bid: 0.05 Cmp ID: 1677170384 Cmp Bid: 535
25/02 16:02:03 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.625 , weight=625])
25/02 16:02:03 INFO agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.11132055684057285 Cmp ID: 1677170384 Cmp Bid: 1
25/02 16:02:03 INFO agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv3 : UCS Bid: 0.05 Cmp ID: 1677170384 Cmp Bid: 523
25/02 16:02:03 INFO agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv4 : UCS Bid: 0.05 Cmp ID: 1677170384 Cmp Bid: 526
25/02 16:02:03 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.625 , weight=625])
25/02 16:02:03 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.523809523809524E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=2.285714285714286E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=3.047619047619048E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=4.571428571428572E-5, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=9.600000000000001E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=6.4E-4, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.00128, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0019200000000000003, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.625 , weight=625])
